Questions,Answers
MCA regular fee Structure,http://www.sngce.ac.in/web_assets/images/c428cb75d380b0614d8e7fd0760b1525.pdf
MCA lateral fee Structure,http://www.sngce.ac.in/web_assets/images/54ec1afd96e97edeea75b8a0813befab.pdf
Mtech Fee structure,http://www.sngce.ac.in/web_assets/images/741da97b5f5da70a682d4cbdea2d32f6.pdf
College Code,SNG
Download B Tech Application Form,http://www.sngce.ac.in/web_assets/images/B.Tech.%20Application%20Form%202019-20.pdf
Download MCA Regular Application Form,http://www.sngce.ac.in/web_assets/images/MCA%20(REGULAR)%20Appln.%20Form%202019-20.pdf
Download MCA Lateral Application Form,http://www.sngce.ac.in/web_assets/images/MCA%20(Lateral%20Entry)%20Appln.%20Form%202019-20.pdf
Download M.Tech Application Form,http://www.sngce.ac.in/web_assets/images/M.Tech.%20Appln.%20Form%202019-20.pdf
Bank Details ,http://www.sngce.ac.in/web_assets/images/sngfeeact.pdf
Documents needed at the time of admission,http://www.sngce.ac.in/web_assets/images/B.Tech%20Docs.pdf
Apply Online for Admission,http://www.sngce.ac.in/admission
College Alumini,https://sngcealumni.fourthambit.com/updates
Know about the fees,http://www.sngce.ac.in/admission/fee_structure
Civil Engineering Page,http://www.sngce.ac.in/department/department_view/CE
B.Tech in Civil Engineering Number of seats,120
B.Tech in Civil Engineering Number of Semesters,8
M.Tech in Civil Engineering (COMPUTER AIDED STRUCTURAL ENGINEERING ) seats,18
M.Tech in Civil Engineering (COMPUTER AIDED STRUCTURAL ENGINEERING ) Semesters,4
M.Tech in Civil Engineering (STRUCTURAL ENGINEERING AND C0NSTRUCTION MANAGEMENT) Seats,18
M.Tech in Civil Engineering (STRUCTURAL ENGINEERING AND C0NSTRUCTION MANAGEMENT) Semesters,4
Civil Engineering Facilities,"1.Material Testing Laboratory-I
2.Material Testing Laboratory-II
3.Transportation Engg. Laboratory
4.Geo Technical Engg. Laboratory
5.Environmental Engg. Laboratory
6.Civil Engg. Workshop ( Survey, Masonry & Plumbing Lab. )
7.Computer Laboratory"
HOD of Civil Engineering,"Prof.Dr.S. Usha, Head of the Department"
About Dr S Usha,"Prof.Dr.S. Usha, Head of the Department
Professor, B.Tech, M.Tech, Ph.D
Prof. S. Usha obtained her B.Tech degree in Civil Engineering from College of Engineering, Trivandrum under Kerala University in the year 1986 and M.tech in Computer Aided Structural Engineering from Mar Athanasius College of Engineering under M.G. University in 2007. She is pursuing her Ph.D from Cochin University of Science & Technology. She has 13 years of industrial and 11 years of teaching experiences. Prof. Usha started her career as Junior Engineer in an architectural firm during 1986-87. In 1990 she joined as management trainee at Hindustan Organic Chemicals Ltd. (Govt. of India enterprises), Ambalamukal and relieved from the firm as Deputy Manager in the year 2001. During the period 2002-2003 she worked with ""Jalanidhi""-Kerala Rural Water Supply and Sanitary Agency.She joined SNGCE in 2004. She has published 6 research papers in reputed national journals and conferences. She is life time member of ISTE, ICI

Areas of Interest:Structural Analysis, Structural design, Engineering Materials
Email:ushaushus11@rediffmail.com"
Computer Science and Engineering (CSE),http://www.sngce.ac.in/department/department_view/CSE
Highlights of CSE,"Accredited by National Board of Accreditation(NBA) of the government of India.
24X7 WiFi facility
Access to online Research Documents
Well equipped computer labs.
Smart class room.
Active student chapters of CSI, ACM and IEEE
Research programs in the field of computer networks, data security, and internet technology.
Institutional life membership in professional bodies like Computer Society of India(CSI)."
Seats in B.Tech in Computer Science and Engineering,90
Semesters in B.Tech in Computer Science and Engineering,8
Seats in M.Tech in Cyber Security,18
Semesters in M.Tech in Cyber Security,4
Seats in M.Tech in Computer Science and Engineering,18
Semesters in M.Tech in Computer Science and Engineering ,4
Facilites of Computer Science and Engineering (CSE),"Department of CSE provides the following facilities
The department has well equipped and well maintained computer labs.
They are: Hardware Lab, Programming Lab,Project Lab,Networking Lab, Systems and Microprocessor Lab, and CAD Lab
Department Library: The Department has a well maintained library which contains Computer related Books, Journals and Magazines."
HOD of Compueter Science and Engineering,"Prof. P. Jayakumar, Head, Department of CSE, B.Sc (Engg), M.Tech, MBA"
About Prof P Jayakumar,"Prof. P. Jayakumar, Head, Department of CSE, B.Sc (Engg), M.Tech, MBA


Sri Jayakumar obtained his basic degree in Electronics and Communication Engineering from University of Kerala in the year 1974, and M.Tech (CSE) and MBA from Cochin University of Science & Technology. He started his career as a Scientist in ISRO, and later moved on to CSIR. He served in reputed CSIR labs like CSIO, Chandigarh and CECRI, Karaikudi. He has a research experience of more than 23 years and he is into academics for the last 17 years. Sri Jayakumar is a member of many Professional societies in India and abroad, including Instrument society of India, Indian Physics Association, Computer Society of India, Institution of Engineers(India), ACM, and IEEE. He is with SNGCE for the last 8 years. His research interests are in the area of Computer Communication and Network Security. Sri Jayakumar is a qualified Lead auditor for ISO 9001:2008 certification."
About Computer Applications (MCA),"Academics
The Department of Computer Applications was established in the year 2009 and is now recognized as one of the leading departments with infrastructure and facilities to match the very best in the state. It is committed to impart quality education in the sub-fields of IT, a field growing in leaps and bounds. Since its inception, the department has proved itself to be outstanding in imparting quality education in the field of computer applications. The curriculum is so made that the course provides a good theoretical foundation through high-quality teaching complemented by extensive practical training. The training objectives and curriculum here are benchmarked to the best of institutions. It is dedicated to the mission of inculcating value-based, socially committed professionalism to the cause of overall development of students and society.

The department remains committed towards its mission, which is twofold. One is to provide students with the fundamental knowledge and problem-solving skills in IT required for a fulfilling career. The other goal is to create and disseminate knowledge to improve IT research, education and practice. The students are provided with ample opportunities to improve their organisational skills and group dynamics. They are motivated to handle seminars and to participate in group discussions. Apart from emphasizing on consistent and good academic performance, the department encourages participation in the co-curricular and extra-curricular activities to bring out the latent talents in students."
Highlights of MCA,"Industry standard student’s project developments are conducted by the department.
Every year one National and International Conference are conducted by the department.
Add on courses are given to the students regularly.
Department provides Soft skill training to the students.
Department has registered for CSI and ISTE membership.
The department is equipped with a group of well-qualified and experienced teachers for handling the various subjects taught throughout the course. The faculty and staff strive together to maintain the quality and discipline of the department, by all means, their combined effort and adamant dedication have made the department a centre of excellence for students to pursue the MCA degree."
"Seats in Master of Computer Applications 

                   (MCA - Regular Batch)",90
"Semeters  in Master of Computer Applications 

                   (MCA - Regular Batch)",6
"Seats in Master of Computer Applications

                    (MCA - Lateral Entry)", 12 + lapsed seats
"Semesters in Master of Computer Applications

                    (MCA - Lateral Entry)",4
 Facilities Of  MCA,"Department of Computer Applications provides the following facilities

The department has well-equipped computer labs.
They are: Hardware Lab, Programming Lab and Project Lab
Department Library: The Department maintains a collection of reprints and books on a variety of computer-related topics."
HOD of MCA,"Associate Prof. Sandhya R,"
About Associate Prof. Sandhya R,"Associate Prof. Sandhya R,

Head, Department of Computer  Applications
BE (EC), M.Tech. (CSE), Ph.D ( pursuing)
                  Prof Sandhya R has been associating with SNGCE as HoD (CA) since July 2010. She has 14 years of teaching and 5 years of industrial experience. ""Teaching is the profession that creates all other professions"", with this motto, madam heads the department. She is doing research in Wireless Sensor Networks. Her areas of Interest include Computer Organization, Operating Systems and Data mining."
About Electrical and Electronics Engineering (EEE),"Academics
The department offers B.Tech and M.Tech courses in Electrical and Electronics Engineering. The B.Tech course in Electrical & Electronics Engineering was started with the inception of the college in 2002, with a normal student intake strength of 60. The B.Tech.course is of 4 years duration spread over 8 semesters, having university examination at the end of every semeste. The M.Tech course with specialization in Power Electronics was started from the academic year 2012. Both the B.Tech and M.Tech courses are approved by AICTE and the degrees are awarded by the APJ Abdul Kalam Technological University, Kerala"
Seats in B.Tech in Electrical and Electronics Engineering ,60
Semesters in B.Tech in Electrical and Electronics Engineering ,8
Seats in M.Tech in Power Electronics,18
Semesters In M.Tech in Power Electronics,4
Facilites of Electrical and Electronics Engineering (EEE),"Laboratories in the department

Electrical workshop
Electrical Measurements lab
Electrical Machines lab
Computer Programming lab
Electronics Circuits lab
Power Electronics lab
Control and Simulation lab
Systems Lab "
HOD OF Electrical and Electronics Engineering (EEE),"Ms. Reshmila S, Head of the Department"
"About Ms. Reshmila S, Head of the Department","Ms. Reshmila S, Head of the Department
B.Tech, M.Tech, Ph.D(pursuing)

Prof. Reshmila S is associated with SNGCE and Dept. of EEE right from the inception of the college in the year 2002. She received M.Tech degree in Emebedded Systems from Calicut University and B.Tech degree in EEE from Mahatma Gandhi University. Currently she is pursuing her research work in the area of Discrete Event Systems. She has publications in International journals and presented papers in various IEEE conferences. She is a member of ISTE and IEEE. Her areas of interest include Discrete Event System, Failure diagnosis, Smartgrid, Power System reconfiguration.
Email:reshmilas@yahoo.com"
About Electronics and Communications Engineering (ECE),"Academics
The Department of Electronics and Communication Engineering was established during the inception of the institute in 2002. The B. Tech. course in Electronics and Communication Engineering (ECE) was started with an approved strength of 60 students, and the intake was enhanced to 120 in 2006. Since its commencement, the primary objective of the department has been to impart quality education, training and research at the undergraduate and postgraduate levels in various areas of Electronics and Communication Engineering. In postgraduate level the department offers M. Tech. course in Communication Engineering (24 seats). The state-of-the-art laboratories and audio visual facilities complement the high standards set by the university syllabus and nurture the inclination of the students towards research and development, besides giving them the necessary and sufficient backing of practical knowledge that they need. The department has highly qualified and experienced faculty members. Students are encouraged to share their ideas and learning with fraternity of engineering students in the state through participation in seminars and workshops. Department conducts national and international Seminars and Symposiums every year. It gives an opportunity for our students to interact with other University students and share their views and technical knowledge."
HOD of Electronics and Communications Engineering (ECE),"Mr. Deepak P.
Associate Professor, ECE."
Facilities in Electronics and Communications Engineering (ECE),"The department has six well equipped laboratories to run the Under Graduate and Post Graduate programmes as per MGU syllabus and two add-on labs.

Circuits Lab .
DIC Lab
Communication Lab .
Advanced Software Lab
VLSI & Embedded S ystem Lab .
Advanced Communication Lab
Add-on labs.

R & D Lab: Department provides plenty of opportunities to research minded students to sharpen their research skills. The purpose of this research lab is to ask questions and solve problems. Department has an exceptional resource, with unique capabilities."
Highlights of Electronics and Communications Engineering (ECE),"The Department was accredited by the National Board of Accreditation (All India Council for Technical Education), New Delhi.
State-of-the-art laboratories and infrastructure facilities to carry out consultancy works as well as research works.
The Department Association (EXPLORA) is very active and organizes periodical seminars and invited talks by experts from industry and academy.
The Department supports a full complement of Computer Systems and Software applications with high speed wireless internet access.
The students are effectively guided by a group of well qualified and devoted staff members. The infrastructure facilities and the team work of the staff members culminate delivery of the curriculum.
Conducts National and International seminars to update the developments in the field and improve the paper publication capability of the students.
The Department offers training programs in various industries to the students equipping them to acquire certification in some areas by the time they complete the degree program.
The Department conducts workshops and FDPs for the benefit of faculty and students.
Department has achieved high success rate in campus placement.
The Department has strong research capability in the field of Image Processing, Network Security, Embedded System and Communication.
The Department has institutional membership in professional bodies like ISTE, IEEE, IETE, and student chapter of WIE to support the student community.
Conducts social service activities."
Number of seats in B. Tech. in Electronics and Communication Engineering ,90
Number of semesters in B. Tech. in Electronics and Communication Engineering ,8
"About Mr. Deepak P.
Associate Professor, ECE.","Mr. Deepak P.
Associate Professor, ECE.

Graduated from Madras University, Chennai in Electronics and Communication Engineering and Master of Engineering from Anna University, Chennai. Pursuing Doctoral research in Image Processing at M.G University, Kottayam. Carrying Diploma in Biomedical engineering with 2 years of industrial experience in this field. Nearly 17 years of teaching experience includes 13 years at B.Tech level and 4 years at Diploma level. Has 10 publications in refereed conferences and journals are the added credits in the career. Acting as a certified ISO auditor from the department and carries the position of NSS department coordinator. Performed as IEEE branch counsellor since 2009 to 2014. "
Number of seats in M. Tech. in Communication Engineering,24
Number of semesters in M. Tech. in Communication Engineering,4
About Mechanical Engineering  (ME),"Academics
Mechanical engineering is the discipline that applies engineering, physics, and materials science principles to design, analyze, manufacture, and maintain mechanical systems. It is one of the oldest and broadest of the engineering disciplines.

The mechanical engineering field requires an understanding of core areas including mechanics, dynamics, thermodynamics, materials science, structural analysis, and electricity. In addition to these core principles, mechanical engineers use tools such as computer-aided design (CAD), and product life cycle management to design and analyze manufacturing plants, industrial equipment and machinery, heating and cooling systems, transport systems, aircraft, watercraft, robotics, medical devices, weapons, and others. It is the branch of engineering that involves the design, production, and operation of machinery."
Facilities of Mechanical Engineering  (ME),
Highlights of Mechanical Engineering  (ME),"Highlights
Advanced courses are offered as electives such as.. Welding Technology, Foundry Technology, Advanced Operation Research, Marketing and Sales Management, Plant Engineering and Maintenance, Aerospace Engineering, Project Management, Cryogenics, Total Quality Management, Nuclear Engineering, Computational Fluid Dynamics, Composite Material and Mechanics, Fracture Mechanics etc.
Department is equipped with a wide variety of advanced softwares such as Ansys, Catia, Primavera, Pro-E, Auto CAD, Nastran, Solidworks etc. Students are offered co-curricular training in soft skills to face the challenges of trade and industry.
State-of-the-art live projects are offered to students. Few projects have been patented.
Department association, Student chapter of ISHRAE, Robotics club etc. provide opportunities for development of innovative talents among student community.
Industry partnership is being promoted by way of MOUs and collaborative arrangements with leading institutions."
HOD of Mechanical Engineering  (ME),"Ms.Jayasree S, Head of the Department
BTech, MTech."
"About Ms.Jayasree S, Head of the Department
","Ms.Jayasree S, Head of the Department
BTech, MTech.

Prof.S.JAYASREE is a post graduate in Propulsion Engineering from College of Engineering Thiruvananthapuram, who started her teaching career from the same college way back in 1988. She is a Mechanical Engineering graduate from TKM College of Engineering, Kollam and has more than 26 years of teaching experience in different Engineering colleges in Kerala and Tamilnadu. After teaching more than fourteen years in Mohamed Sathak Enginnering College, Kilakarai, she joined SNGCE in 2004 and teaching in this department from its inception. At present she is pursuing her doctoral research in the area of Total Quality Engineering."
About Naval Architecture and Ship Building (NASB),"Academics
Naval architect is a professional engineer who is responsible for the design, construction, building and repair of marine structures, which includes ships, submarines, offshore structures etc. Naval Architecture is a highly job oriented area but the number of institutions catering to this course of study is limited. As shipping is becoming more and more commercially important, more efficiently designed ships are the need of the hour. It is here that the chances for a new comer in the area of Naval Architecture/Ship Building look bright.

The department offers B.Tech in Naval Architecture and Ship building engineering with focus on design, construction and maintenance of ships and other marine structures. The curriculum includes hydrostatic characteristics, stability, occupational safety and health, hydrodynamics, design and analyze of marine engineering systems, project management, quality control, IMO rules and regulations, subsea installation, subsea integrity, offshore codes and standards, Computer Aided Drafting, Mooring and Riser analysis, Pipe line Engineering, Marine HVAC, other related specializations.

On completion of B.Tech (NA & SB) Course, the graduates can further study the M.Tech (NA & SB, Ocean Engineering, Harbour Engineering, etc), Ph.D & Research programmes in India and abroad.

Naval architects have a broad range of employment opportunities worldwide. The students after completing the course can aspire for employment in Shipyards, Shipping, Ship Surveying, Navy, Coastguard and Dockyards. They can work as a consultant - providing clients with engineering solutions, technical and commercial guidance, support and project management for concept design studies, new vessel constructions, refits and conversions. They can undertake maritime research in universities and industry. They can work as analyst in ships and marine structures. Naval architects who specialize in construction take responsibility for the management of a whole shipyard or in the sections such as planning, production or the complex operation of outfitting."
Highlights of Naval Architecture and Ship Building (NASB),
Facilities of Naval Architecture and Ship Building (NASB),
HOD of Naval Architecture and Ship Building (NASB),Prof. Dr. Satheesh Babu P.K. Head of the Department 
About Prof. Dr. Satheesh Babu P.K. Head of the Department ,"Prof. Dr. Satheesh Babu P.K. Head of the Department with over twenty-three years of professional experience, including seven years as teaching faculty with premier academic institutions in India, Prof.(Dr.) P. K. Satheesh Babu (Retd.) had served the Indian Navy as a Naval Architect Officer where he was actively involved in the Design, Maintenance and Repair of ships. During his Naval service, he has sailed extensively on the high seas and is also the secretary of the Cochin chapter of the Royal Institution of Naval Architects (RINA), London; as well as an active member of the Institution of Naval Architects (INA), India."
About Management Studies (MBA),"Academics
Department offers elective courses in Marketing, Finance, HRM, Systems, International Business, Production and Operations management as Dual Specializations with an intake of 120 students every year."
Facilities of MBA,"Digital AC classrooms with projector and speaker support

WiFi enabled campus and hostel

Exclusive library for Management department with a book volume of 6868, Reference title of 4588 and 18 International and 6 national journals along 286 online journals of Emerald, D-space and VPN repository, 307 Digital CD ROM, Magazine and Newspapers with Photostat and Printing facility

Digital Learning Centre with 120 computers with Language lab, Virtual Industry Interface(Simulation ERP) and free printout facility for students

Corporate Relation Centre for interaction with Industrial Executive-Video Conferencing Facility

Pearson EDURITE Digiclass (for multimedia based interactive learning) enabled digital AC Conference Hall with 240 seating capacity

AC Seminar Hall with 120 seating capacity

Centre for Stock Analysis - equipped with Online share trading terminal, Real-time LED display board, 32’’ LCD Display of Market Update

Innovation and Entrepreneurship development centre

Incubation centre facility with the support of students, alumni, faculty and R&D partners in creating successful business ventures"
MBA Programmes,"MBA - 2 YEAR PROGRAMME
Academic Sessions: Monday-Friday 9:00am to 3:30pm

Experimental and Case Study based learning
Seminars and Presentations
Add on topics
Guest session by Industrial Experts
Enhanced learning through research-oriented works
Student Ownership Programme Mentoring
Industrial Internship(National/International)
Training and Placement Activities: 3:30 pm to 4:30 pm 

News Analysis and Discussions
Industrial Interaction Programme - Presentations
Holistic approach through yoga training and games
Management Games and activities
Library and Internet hours
Placement training - Aptitude, Group discussion and Mock Interview"
HOD OF MBA,"Prof.  Jubel Mathew: BSc.(Physics), MBA, M Phil.

Head of the Department"
About Prof.  Jubel Mathew,"Prof.  Jubel Mathew: BSc.(Physics), MBA, M Phil.

Head of the Department

M Phil in Entrepreneurship from Madurai Kamaraj University. MBA from Shivaji University, Kolhapur, Graduate in Physics from MG University, Kottayam. He is currently completed PhD in Entrepreneurship. He started his career in advertising & publishing and then moved on to pedagogy. He has got 19 years of teaching experience at the under graduate and post graduate levels, besides 2 years’ experience in the industry. He is adept in handling Marketing, Advertising, Corporate Strategy, Entrepreneurship and Economics. He has been actively involved in the Content improvement and Soft skill development initiatives for management graduates with many novel programmes and ideas worth emulating. 
AREAS OF RESEARCH: Advertising, Integrated Marketing Communication"
Placements ,http://www.sngce.ac.in/placements
Recruiters,http://www.sngce.ac.in/placements
Placement Cell Faculty,http://www.sngce.ac.in/placements
Facilities of sngce,http://www.sngce.ac.in/facilities
Resources of sngce,http://www.sngce.ac.in/facilities
Staffs of Sngce,http://www.sngce.ac.in/facilities
Staffs of Mechanical Engineering,"   Mechanical Engineering  
1 Ms.S. Jayasree Professor & HOD  302
2 Dr. Binu P.P.   Professor  306
3 Ms. Jayasree K.S. Associate Professor  305
4 Mr. Rajesh R. Associate Professor  308
5 Mr. Arun Mohan               Associate Professor  309
6 Mr. Rajeshkumar R.  Associate Professor  307
7 Mr. K.N. Krishnan Nambeesan Associate Professor  381
8 Mr. Rajesh Ramakrishnan Asst.Professor   313
9 Mr. Alex S. Asst.Professor  314
10 Mr. Pramod Ramakrishnan Asst.Professor  317
11 Mr. Aneesh V. Asst.Professor  324
12 Mr. Dharma Prakash A.J. Asst.Professor  365
13 Mr. Ajay Kumar P.V. Asst. Professor  380
14 Mr. Vivek Babu Asst. Professor  379
15 Mr.Melvin Eldho Shibu Asst. Professor  344
16 Mr.Basil Thomas Asst.Professor ( on leave) 369
17 Mr.B.Sibin Asst. Professor  384
18 Mr.Jithish K.S. Asst. Professor  385
19 Mr.Arun Eldhose Asst. Professor  387
20 Mr.Rony John Asst. Professor  389
21 Mr. P.C. Rajan Instructor  360
22 Mr. Sreejith N. Kalasseril Instructor Gr. I 331
23 Mr.Prakash Kesavan Instructor Gr. II 332
24 Mr.Sudheesh P.N. Trade Instructor 334
25 Mr.Sumesh E.S. Tradesman 335
26 Mr.Minju Rajan Tradesman 336
27 Mr.Deepan K. Nair Tradesman 338
28 Mr. Pratheesh C.P Tradesman 339
29 Mr. Padmakumar K.K. Tradesman 340
30 Mr. Baiju A.S. Tradesman 341"
Staffs of Electrical Engineering,"1 Ms. Reshmila S.   Associate Professor  & HOD 404
2 Ms. Saritha Sathyan Associate Professor  405
3 Ms. Saritha K.S. Associate Professor  409
4 Ms. Indu K. Simon Associate Professor  413
 5 Ms Shemi P.A. Asst.Professor   408
6 Mr. Ajith K.A. Asst.Professor   411
7 Ms. Loveleen K.V.  Asst.Professor 412
8 Ms.Aruna T.A. Asst.Professor   426
 9 Ms. Arya Prakash Asst.Professor  415
10 Ms. Aswathi Mohandas Asst.Professor  451
11 Ms.Smitha N.P. Asst.Professor 456
12 Ms. Brinta N.R. Asst.Professor  458
13 Ms. Reshma P.S. Asst.Professor  462
 14 Ms. Anitha T.V. Instructor Gr. II  421
15 Mr. Rethesh Rajan Instructor Gr. II  422
16 Ms. Bindhu T.R. Instructor Gr. II  537
17 Mr. Saju K.S. Trade Instructor 423
18 Mr. Ajeesh K.K. Trade Instructor 424
19 Mr. Sajesh T.S. Trade Instructor 425
 20 Mr.Prasad M.V. Tradesman 457
21 Mr. Pratheesh M.G. Tradesman 460"
Staffs of  Electronics &Communication Engineering,"87   1 Mr. Deepak P.        Associate Professor & HOD 505
88   2 Mr. Shyju Y. Associate Professor 510
89   3 Ms. Seema Padmarajan Asst.Professor   507
90   4 Ms. Shiji Abraham Asst.Professor   508
91   5 Ms. Seena George Asst.Professor   509
92   6 Ms. Priyanka Udayabhanu   Asst.Professor  512
93   7 Ms. Meera Thampy Asst.Professor  513
94   8 Ms. Nitha S.Unni Asst.Professor   516
95   9 Mr. Aby Mathew Asst.Professor  517
96   10 Ms. Divya S. Asst.Professor  519
11 Ms. Ranju S. Kartha Asst.Professor  520
12 Ms. Malini Soman Asst.Professor    522
13 Ms. Soniya Peter Asst.Professor  523
14 Ms. Resmi P L Asst.Professor  551
15 Ms.Soumya.A.M. Asst.Professor  555
16 Ms.Prathibha Varghese Asst.Professor   559
17 Ms. Pearly Jacob Asst.Professor  568
18 Mr. Jijo Varghese Asst.Professor  562
19 Ms. Neethu Bhaskaran Asst.Professor  573
20 Ms. Sasikala P.S. Instructor Gr. I 533
21 Mr. Vinod P.K. Instructor Gr. II 534
22 Ms. Sibi. K.K. Instructor Gr. II 535
23 Mr. Jinesh M.S. Instructor Gr. II 536
24 Mr. Jayaraj K.V. Tradesman 538
25 Mr.Renjith E.R. Tradesman 540
26 Ms. Bindu K.T. Tradesman 541
27 Ms. Giny C.S. Tradesman 438"
Staffs of Computer Science & Engineering,"1 Mr. P. Jayakumar Professor & HOD    635
2 Dr. Smitha Suresh         Professor  605
3 Mr. Saini Jacob Soman Associate Professor  603
4 Mr. Sujithkumar  P.S.     Associate Professor  604
5 Ms. Sindhu M.P. Associate Professor  607
6 Ms. Lisha Kurian Asst.Professor  608
7 Ms. Vidhya P.M. Asst.Professor  610
8 Mr. Anil C.B. Asst.Professor  612
9 Ms. Nimmy M.K. Asst.Professor  613
10 Ms. Jinu Mohan Asst.Professor  618
11 Ms. Silpa Kamalan Asst.Professor   619
12 Mr. Arun K. Govind Asst.Professor   621
13 Ms. Ancy A. Asst.Professor  650
14 Ms. Justy Jameson Asst.Professor  642
15 Ms. Neenu Suresh Asst.Professor  643
16 Ms. Praseeda K. Gopinadhan Asst.Professor 647
17 Ms. Gayathry K.V. Asst.Professor  649
18 Ms. Silpa Muraliraj Asst.Professor  664
19 Ms. Sharika T.R. Asst.Professor  676
20 Ms. Athira Krishna Asst.Professor  668
21 Ms. Anjana Joshi Asst.Professor  667
22 Ms. Athira Raj Asst.Professor  670
23 Ms. Swapna Sasikumar Computer Programmer 622
24 Mr. Binish Kumar K. Hardware Engineer 646
25 Mr. Ajithkumar N.K. Instructor Gr. I 625
26 Ms. Nisha Mohan Instructor Gr. II 626
27 Ms. Pinky Rajan Instructor Gr. II 627
28 Mr.Paul Varghese Tradesman 628
 29 Ms. Sini K.K. Tradesman 630"
